TRM,edson_median,hinton_median,whitecourt_median
"017024",28786.296,,28792.585
"017025",21274.164,22889.792,21383.6615
"017034",28790.453,,28793.4265
"017035",22151.6535,23120.977,22270.238
"017044",28786.592,,28792.729
"017045",23298.0375,22126.0845,23407.078
"017054",28782.572,,28792.0145
"017055",23318.711,22165.617,23422.779
"017064",28778.551,,28791.3005
"017065",22351.72,20970.19,22462.14
"017074",28774.529,,28790.7365
"017075",22266.459,20864.857,22368.913
"017084",28769.018,,28199.333
"017094",27877.1035,28792.2975,27256.637
"017104",28203.9825,28792.5105,27663.953
"017114",26940.8075,28794.666,26455.097
"017124",25953.036,28409.8295,25471.088
"017134",25723.387,28179.8175,25240.9345
"017144",25678.906,28136.0965,25195.154
"017154",25476.1815,27928.095,24990.175
"017164",25697.515,28151.459,25211.9925
"017174",26159.8255,28450.499,25673.625
"017184",26326.333,28113.864,26170.018
"017194",25877.833,27661.443,25983.077
"017204",25628.3065,27515.462,25730.9825
"017214",24872.6205,26994.497,24974.798
"017224",23994.274,25776.433,24095.6535
"017234",23705.8175,25484.595,23810.7295
"017244",22890.623,24672.484,22995.22
"017254",23011.4595,24795.217,23119.153
"017264",22329.3545,24113.5295,22436.015
"017274",22487.744,24270.678,22590.7065
"017284",21289.501,23071.488,21389.843
"017294",21278.6125,23061.195,21379.6795
"017304",21658.765,23490.116,21839.787
"018014",28593.979,,27990.0955
"018015",21043.467,22793.528,21146.3725
"018024",28790.289,,28733.408
"018025",20798.022,22424.276,20899.251
"018034",28786.813,,28793.6555
"018035",22134.119,22798.972,22227.956
"018044",28782.2975,,28793.1065
"018045",23756.729,23263.68,23868.586
"018054",28777.826,,28792.3815
"018055",24622.845,24119.4305,24723.673
"018064",28773.373,,28791.5385
"018065",21992.9555,22063.3825,22114.61
"018074",28768.8345,,28790.0375
"018075",21553.14,20219.71,21660.7265
"018084",28448.646,28792.066,27826.661
"018085",21315.915,19902.0905,21421.403
"018094",27437.1955,28791.808,26813.201
"018095",23150.3805,21082.687,23425.317
"018104",28223.847,28793.293,27604.0145
"018105",23286.3675,21068.88,23594.728
"018114",27745.278,28791.852,27189.2895
"018124",26462.26,28782.4875,25974.6065
"018134",25503.3375,27954.646,25021.7215
"018144",25062.818,27517.749,24579.171
"018154",24938.638,27392.738,24455.167
"018164",25410.5925,27869.0585,24929.575
"018174",26262.506,28660.487,25780.4095
"018184",27129.114,28741.2995,27127.394
"018194",26334.17,28398.4855,26434.6725
"018204",25097.951,27329.31,25203.002
"018214",23815.359,25966.4975,23924.48
"018224",23429.5,25226.497,23535.263
"018234",23181.7915,24960.94,23283.835
"018244",22430.929,24216.719,22531.3375
"018254",22366.707,24147.9955,22475.024
"018264",21727.484,23509.593,21835.1595
"018274",21573.509,23360.097,21671.881
"018284",20804.412,22591.3125,20909.7605
"018294",20664.4745,22446.0955,20768.144
"018304",20937.89,22714.483,21036.023
"019014",28174.665,,27547.632
"019015",20435.883,22200.1705,20540.874
"019024",28791.382,,28507.2975
"019025",20437.801,22050.937,20538.952
"019034",28791.993,,28792.071
"019035",20794.627,22406.794,20905.454
"019044",28785.7365,,28795.4385
"019045",21577.607,22885.142,21681.187
"019054",28781.1585,,28794.812
"019055",21926.031,22990.511,22059.7465
"019064",28775.399,,28790.05
"019065",21632.717,23116.686,21732.679
"019074",28758.074,28791.8215,28569.24
"019075",22092.033,22911.2345,22200.894
"019084",27943.4795,28791.431,27324.79
"019085",20988.17,19641.38,21097.872
"019094",26966.64,28792.231,26339.639
"019095",22325.671,20344.025,22532
"019104",27216.26,28793.053,26592.681
"019105",23042.142,20605.809,23376.502
"019114",26780.0195,28783.425,26156.233
"019124",26561.788,28766.733,25946.682
"019134",25803.007,28273.679,25232.5425
"019144",24827.017,27280.524,24327.345
"019154",24506.9165,26963.156,24024.3015
"019164",25138.7105,27592.619,24649.8325
"019174",25240.203,27692.057,24759.161
"019184",26136.379,27993.3145,26113.922
"019194",25372.085,27808.409,25472.103
"019204",23994.435,26399.983,24101
"019214",22978.943,25322.712,23086.3985
"019224",23282.376,25200.468,23386.113
"019234",22511.0165,24411.245,22615.959
"019244",22112.045,24021.097,22216.987
"019254",22005.377,23854.071,22113.209
"019264",21542.161,23332.434,21642.136
"019274",20909.2835,22691.999,21015.0005
"019284",20261.265,22043.17,20365.887
"019294",20151.7295,21933.799,20255.352
"020014",27852.7965,,27230.015
"020015",19881.047,21657.0305,19984.006
"020024",28781.6745,,28486.813
"020025",19948.53,21563.0635,20050.614
"020034",28794.9245,,28777.073
"020035",19766.433,21381.3405,19871.337
"020044",28795.88,,28747.154
"020045",19929.783,21546.558,20036.098
"020054",28780.983,,28402.97
"020055",20446.741,22055.2235,20549.711
"020064",28715.9135,28791.5865,28351.5775
"020065",20667.512,22118.3345,20774.7025
"020074",28198.528,28791.195,27575.548
"020075",20753.903,21848.725,20848.974
"020084",26923.15,28790.563,26300.673
"020085",20767.402,20659.788,20875.1265
"020094",26471.543,28795.06,25847.847
"020095",20669.777,18971.479,20778.067
"020104",27103.728,28792.726,26480.7215
"020105",22468.2305,19756.7045,22809.476
"020114",26860.434,28793.474,26239.347
"020115",22244.5135,19518.508,23167.357
"020124",25871.613,28351.84,25248.523
"020134",25430.749,27936.159,24810.6205
"020144",24811.518,27347.429,24205.189
"020154",24523.784,27004.291,24003.15
"020164",24220.699,26670.586,23737.123
"020174",23772.1545,26228.733,23292.9585
"020184",23849.474,26302.454,23367.276
"020194",24465.994,26918.3545,23993.19
"020204",23587.155,26034.063,23507.2015
"020214",22543.5675,24980.409,22647.621
"020224",22663.9395,24767.247,22768.351
"020234",22060.6255,24104.751,22165.7455
"020244",21656.6305,23627.674,21761.3195
"020254",21340.6705,23288.085,21445.607
"020264",21089.428,22868.001,21194.3135
"020274",20598.882,22381.942,20704.912
"020284",20090.089,21873.379,20194.9675
"020294",19638.672,21422.7095,19743.01
"021014",27459.768,,26967.8535
"021015",19343.534,21119.066,19448.801
"021024",27825.827,,27206.5665
"021025",19443.474,21109.265,19548.223
"021034",28353.236,,27732.418
"021035",19165.14,20778.345,19269.486
"021044",28084.1195,,27457.904
"021045",18841.271,20455.68,18949.335
"021054",27574.555,28791.3505,26951.5105
"021055",19413.7195,21030.971,19523.997
"021064",27734.482,28790.954,27108.013
"021065",20101.73,21618.859,20203.671
"021074",27545.089,28790.034,26921.7615
"021075",19621.21,20482.173,19712.1305
"021084",26789.274,28791.717,26167.8445
"021085",19977.357,19973.176,20081.773
"021094",26201.5625,28796.522,25580.542
"021095",20230.122,18643.372,20343.187
"021104",27305.842,28796.674,26680.724
"021105",21555.841,18751.983,21810.287
"021114",26501.7715,28798.724,25877.636
"021115",21889.162,18936.9735,22916.345
"021124",25947.7025,28648.637,25325.1895
"021125",20954.13,18216.101,22866.719
"021134",25446.6285,28217.194,24822.64
"021144",24554.354,27300.948,23930.142
"021154",24314.9915,26847.962,23770.8565
"021164",23992.2575,26448.28,23508.067
"021174",23568.796,26025.5945,23086.2965
"021184",22957.074,25412.767,22474.057
"021194",22986.9475,25438.3525,22501.673
"021204",22616.481,25059.898,22451.492
"021214",22051.682,24492.651,22155.4535
"021224",22213.514,24645.08,22323.201
"021234",21776.479,24101.707,21879.7725
"021244",21842.737,23827.134,21949.2595
"021254",20996.432,22929.634,21105.86
"021264",20737.561,22581.573,20843.819
"021274",20352.3205,22161.547,20456.154
"021284",19848.79,21629.7415,19955.848
"021294",19307.629,21089.788,19411.4165
"022014",26847.8185,,26225.611
"022015",18754.965,20532.864,18862.325
"022024",27137.0765,,26516.368
