TRM,edson_median,hinton_median,whitecourt_median
"017084",31127.662,34055.335,30450.832
"017094",30106.9785,32999.2965,29436.1805
"017104",30030.8,32593.72,29500.9135
"017114",28593.6245,31160.07,28069.116
"017124",27547.237,30110.408,27019.285
"017134",27325.992,29888.9605,26797.259
"017144",27309.046,29871.97,26781.5265
"017154",27053.116,29617.211,26526.3685
"017164",27308.544,29871.329,26781.116
"017174",27844.108,30366.811,27315.486
"017184",28243.079,30213.343,27931.224
"017194",27802.854,29687.918,27910.477
"017204",27457.731,29481.9885,27567.6255
"017214",26567.985,28877.396,26678.5815
"017224",25626.981,27511.244,25733.371
"017234",25271.476,27157.058,25380.86
"017244",24375.749,26262.97,24485.13
"017254",24566.129,26451.6395,24674.3915
"017264",23846.232,25732.2645,23954.151
"017274",23971.813,25858.931,24081.3255
"017284",22676.162,24560.3,22785.236
"017294",22704.0685,24591.5695,22812.6745
"017304",23183.327,25033.814,23258.558
"018014",30451.985,33997.687,29779.9085
"018015",22463.333,24302.497,22570.118
"018024",31256.6885,34799.5445,30582.554
"018025",22076.704,23774.967,22185.423
"018034",32777.93,36321.39,32105.347
"018035",23491.588,24239.486,23598.124
"018044",35071.0375,38608.5795,34398.079
"018045",25263.137,24783.864,25373.2685
"018054",34074.7325,37586.029,33398.132
"018055",26193.542,25709.99,26300.648
"018064",33561.557,36649.988,32887.9925
"018065",23417.749,23453.8985,23520.835
"018074",32265.355,35320.984,31591.6465
"018075",22879.329,21423.0465,22987.588
"018084",30697.8835,33751.431,30022.502
"018085",22642,21115.8065,22751.536
"018094",29604.4885,32658.6855,28931.982
"018095",24552.486,22383.233,24888.456
"018104",30283.8595,33015.424,29647.831
"018105",24672.862,22345.079,25050.014
"018114",29554.051,32126.743,28955.249
"018124",28085.727,30650.653,27556.299
"018134",27062.008,29625.838,26535.142
"018144",26626.358,29188.104,26098.63
"018154",26473.241,29037.5125,25946.631
"018164",26997.806,29563.0235,26471.182
"018174",27932.629,30493.712,27402.951
"018184",29087.022,31247.237,28971.536
"018194",28143.375,30440.3675,28253.296
"018204",26814.164,29230.0245,26921.1265
"018214",25431.0785,27759.743,25536.566
"018224",25029.076,26930.948,25138.0605
"018234",24720.377,26606.73,24827.917
"018244",23887.45,25776.2675,23997.454
"018254",23826.0435,25715.428,23938.154
"018264",23151.0405,25039.109,23260.646
"018274",22979.334,24867.249,23090.169
"018284",22155.939,24041.74,22264.4185
"018294",22039.279,23924.4885,22146.876
"018304",22343.4415,24232.923,22456.827
"019014",29990.3985,33536.833,29317.45
"019015",21799.704,23654.999,21910.362
"019024",31183.726,34728.271,30509.273
"019025",21681.301,23380.3295,21791.188
"019034",33850.032,37394.224,33177.118
"019035",22084.2295,23779.77,22195.478
"019044",33775.018,37319.4935,33100.107
"019045",22949.404,24339.4345,23061.175
"019054",32656.9425,36199.997,31983.295
"019055",23372.0505,24506.464,23474.53
"019064",32706.246,36155.939,32033.1925
"019065",23099.049,24654.0445,23210.3305
"019074",31467.485,34747.591,30793.8735
"019075",23536.645,24355.708,23644.61
"019084",30120.2845,33389.4335,29446.664
"019085",22283.149,20839.832,22396.398
"019094",29060.144,32096.568,28386.214
"019095",23728.094,21608.796,23965.488
"019104",29130.5355,31708.469,28457.422
"019105",24424.312,21858.808,24820.648
"019114",28604.983,31184.638,27932.0095
"019124",28311.809,30887.379,27645.0955
"019134",27454.861,30029.733,26842.399
"019144",26363.1775,28927.4505,25818.144
"019154",26005.621,28569.334,25477.2485
"019164",26694.903,29258.165,26166.328
"019174",26813.774,29379.268,26288.8325
"019184",27895.578,30457.553,27835.661
"019194",27093.846,29648.839,27193.337
"019204",25604.766,28145.086,25711.555
"019214",24509.942,26976.355,24618.388
"019224",24845.162,26837.404,24955.101
"019234",24007.3625,25953.397,24115.959
"019244",23545.585,25489.89,23654.245
"019254",23436.793,25362.519,23546.931
"019264",22967.002,24854.393,23074.4205
"019274",22287.502,24171.467,22394.623
"019284",21590.1905,23475.917,21699.1995
"019294",21485.2495,23371.445,21593.5575
"020014",29659.898,33206.807,28990.522
"020015",21209.5335,23071.419,21316.4435
"020024",31133.24,34679.538,30461.761
"020025",21170.708,22873.631,21284.707
"020034",31783.9635,35329.933,31114.068
"020035",20980.2525,22678.562,21090.062
"020044",31585.9675,35130.32,30907.924
"020045",21249.4815,22948.998,21360.4745
"020054",30976.916,34521.003,30304.607
"020055",21795.879,23494.784,21905.94
"020064",31130.3815,34671.7995,30460.348
"020065",22014.845,23525.155,22123.5415
"020074",30381.303,33916.177,29708.197
"020075",22058.2915,23175.8385,22169.6315
"020084",29002.692,32486.318,28329.481
"020085",22054.349,21963.1585,22168.1725
"020094",28497.816,31845.617,27824.9445
"020095",21952.241,20114.1035,22057.084
"020104",29071.1005,31799.049,28397.701
"020105",23818.116,20974.838,24228.771
"020114",28691.102,31266.558,28013.663
"020115",23565.335,20711.637,24602.401
"020124",27587.222,30165.466,26914.18
"020134",27075.932,29681.1465,26402.0395
"020144",26363.47,29047.1435,25708.489
"020154",26060.356,28672.215,25490.401
"020164",25723.385,28286.3695,25194.471
