TRM,FMU,Ecozone,sp,vol,stems,residue,r2,res
"56225",E14,"9",Pl,"278.8165548","1394.082774","49.89840473","49.89840473",
"56245",E14,"9",Pl,"278.7331388","1393.665694","49.88347619","49.88347619",
"48225",E14,"9",Pl,"278.1030728","1390.515364","49.77071642","49.77071642",
"51265",E14,"9",Pl,"278.0779269","1390.389635","49.76621619","49.76621619",
"53245",E14,"9",Pl,"278.0711109","1390.355554","49.76499636","49.76499636",
"8024",,"10",Sw,"330.2258299","1187.862698","49.72250709","49.72250709",
"46195",E14,"9",Pl,"276.8543604","1384.271802","49.5472406","49.5472406",
"49275",E13,"9",Pl,"398.5431141","1433.608324","49.33332965","49.33332965",
"49275",E13,"9",Pl,"398.5431141","1433.608324","49.33332965","49.33332965",
"49275",,"9",Pl,"398.5431141","1433.608324","49.33332965","49.33332965",
"49275",,"9",Pl,"398.5431141","1433.608324","49.33332965","49.33332965",
"40225",,"14",Se,"214.3008721","770.8664465","49.29783429","49.29783429",
"46185",E14,"9",Pl,"275.458457","1377.292285","49.29742276","49.29742276",
"49185",E14,"9",Sb,"215.2044525","1076.022262","49.26352723","49.26352723",
"52245",E14,"9",Pl,"275.0768248","1375.384124","49.22912395","49.22912395",
"52235",E14,"9",Pl,"274.7721409","1373.860704","49.17459619","49.17459619",
"51215",E14,"9",Pl,"274.5759952","1372.879976","49.13949299","49.13949299",
"54026",E14,"9",Pl,"274.4257986","1372.128993","49.11261305","49.11261305",
"50195",E14,"9",Sb,"214.426951","1072.134755","49.08554548","49.08554548",
"53265",E14,"9",Pl,"274.0649952","1370.324976","49.04804187","49.04804187",
"58255",E14,"9",Pl,"273.9517214","1369.758607","49.02776982","49.02776982",
"96245",P14,"9",Sw,"276.1217635","1408.784507","49.00316031","49.00316031",
"49265",E14,"14",Pl,"303.3716396","1516.858198","48.90502516","48.90502516",
"49255",E14,"9",Pl,"273.0442796","1365.221398","48.8653695","48.8653695",
"32155",,"14",Se,"212.2985776","763.6639483","48.83722589","48.83722589",
